6.62627	6.35051	6.1596
7.21313	6.64748	6.35758
7.67273	6.96566	6.54848
8.09697	7.24142	6.72525
8.66967	7.58788	6.93738
9.22825	7.85657	7.11414
9.77983	8.16061	7.3404
10.27475	8.4505	7.50303
10.81208	8.78992	7.72223
11.37067	9.101	7.89899
11.94342	9.41208	8.11111
12.396	9.66667	8.26667
12.86967	9.99192	8.47175
13.28683	10.28183	8.6485
13.83842	10.61417	8.8465
14.27675	10.87575	9.03033
14.8	11.15858	9.22825
15.2525	11.44142	9.398
15.66267	11.75958	9.58892
16.12933	12.07775	9.77983
14.64442	9.97067	8.0899
13.29392	9.2495	7.66566
12.00708	8.96667	7.48182
11.21517	8.73333	7.3404
10.60708	8.57775	7.24142
10.15458	8.44342	7.19899
9.79392	8.30202	7.12828
9.62425	8.20303	7.1
9.4475	8.08283	7.03637
9.23533	7.9697	7.02223
9.08683	7.84949	6.98687
8.96667	7.75758	6.95858
8.86767	7.63738	6.95152
8.76867	7.52424	6.91616
8.67675	7.41111	6.90909
8.56367	7.3404	6.88788
8.47875	7.27677	6.86667
8.37983	7.22728	6.83838
8.30202	7.18485	6.79596
8.25253	7.15657	6.77475
